"User","Content"
"arriqui24","Cada vez que veo un RT a Luis con la frase \" besitos de caramelo\" me dan ganas de ahorcarme con la gomilla de las bragas #Gala15GH15"
"floriartae","@satornade ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahorcame por favor no pares de ahorcame"
"LariEchauri","Con la misma soga puedo ahorcarme o saltaaaaaaaar"
"Ayewen0","Same nas ganas de ahorcarme ahre https://t.co/VqA7LEPG5c"
"crisbeeeel","\"A mi no me quiere ni el diablo, intente ahorcarme y me encontraron\""
"littlemixbabys","cuando las chicas usan las mismas ropas que usaron hace un año mis ganas de ahorcarme aumentan nose un %100"
"powerfulkingian","escuchar reggaeton a esta hora me dan ganas de ahorcarme por no haber salido"
"montsee1994","Creo que quiero ahorcarme 😆"
"taehyungmiofea","ES QJE LA CARITA COMO TIENE LA BOQUITA RDTOY S NADS DE AHORCARME https://t.co/RBe9ENYBjI"
"CyanideMoon","@tailatai para no querer ahorcarme con el tfg eSA ES LA VERDAD y aquí tiras una piedra y te salen 3 camps así que no tiene mucho mérito :_"
"Cazadordemon","@chica_bang Mm... En ahorcarme con sus muslos??  😧"
"forlths","@linestyhabit louis ahorcarme porfa"
"rickymir_","De tan solo saber que tengo 48 horas de clases quiero ahorcarme"
"hestexile","me acabo de acordar que en julio supuestamente iba a tener un evento importante y ahora me puse mal porque me re había hecho la peli en mi cabeza que ganas de ahorcarme"
"ValenCollante","00:00 LUNES, COLEGIO, FRIO, LEVANTARSE TEMPRANO. ME FUI A AHORCARME."
"emilianosanches","Si un día Te olvidas De nuestra amistad @ChristellePatt haria una locura tirarme De arriba de la casa del perro y ahorcarme con un fideo TKM"
"Cazadordemon","@MisaVtuber Yo te quiero mas mi amor, ahora vente a ahorcarme con tus muslos bb 😘😳💕"
"jsnlk97_","No sé si llorar o ahorcarme"
"fzpjay","NETA QUIERO AHORCARME"
"emilianosanches","Si un día Te olvidas De nuestra amistad @ValeriaGalviz haria una locura tirarme De arriba de la casa del perro y ahorcarme con un fideo beso"
"Patricialimones","Y me pongo a pensar y de aquí a pascua no tengo ni un día para descansar. Ganas de fiesta y de ahorcarme."
"SergioCGJ","voy a ahorcarme con el cable de la lampara"
"muyevil","Voy a ahorcarme , ahora vuelvo"
"arriqui24","#1AñoSiendoGemelier Es TT, voy a ahorcarme con la gomilla de las bragas, adios!"
"TorrealbaLuis14","creo que debería ahorcarme"
"dbcoyote","@MariaMigliore @horaciorlarreta Yo soy un pequeño emprendedor y nunca nadie me tira una soga, ni para ahorcarme, mira mis productos... https://t.co/IvoDlnkqPd"
"willowpearls","louis ahorcarme con tu corbata https://t.co/8f124rJoXD"
"lalsx_","@lals23_ me rotes la soga para ahorcarme"
"hvesitos","No tengo calderilla para comprarme nada, se me acaba la batería y encima está sonando amante bandido en spotify voy a ahorcarme"
"Haroooold27","Fav si el 27 de julio me compras una cuerda pa' ahorcarme"
"_camilavel","axel: q venís a buscar?  yo: nada, la soga para ahorcarme axel: bueno, está por allá   ajajajajajajajjasjjas lo odio xd"
"Lucasnun_","Mi viejo en la radio escucha Tan Bionica, chau chicos, voy a ahorcarme al granero..."
"oh_my_yoongi","@lipnjin SAME, y apenas llevo una semana de clases, ganas de ahorcarme no me faltan 😭😭😭  aún así, aquí te estaré echando porritas mi queridísima sil🥺🥺"
"jansantaliz","Tuve que cambiar el avi...después me da por ahorcarme con una sábana."
"dhanna","'Fix you' de Coldplay en @elsantofm y yo tengo ganas de ahorcarme con el cable del mouse."
"avocadooo0__","Hola. Si no es mucha molestia, ¿podrías ahorcarme con tus piernas? 🌝"
"Furanji_R","Porque literalmente estando allí SOLO, y SOLO quiero AHORCARME CON LOS HILOS."
"milkvysatns","@BTS_twt DIOS QUIERO LLORAR SOS TAN DIVINO Y HERMOSO QUIERO AHORCARME"
"w_gintsuQ7","quiero ahorcarme pq otra vez la lapcita empezó con sus mrds y en menos de 2 hrs tengo examen"
"nathandelarosa","Ontá mi pinshi cuerda pa' ahorcarme? #NowPlaying If You Leave Me Now - Remastered de Chicago ♫ https://t.co/WVdzxKPDIg"
"doblasf","Hace tanto calor aie quiero ahorcarme"
"paulalopez2610","Con lo poco que he dormido tener que ir a clase me da unas ganas de coger y ahorcarme... 😥 😥"
"SHELINESKYE","Hasta que te das cuenta. Y sabemos que haras mas que ahorcarme.  — Wink.—"
"AlegreBengali","Ya vengo, me voy a ahorcar. Espero que ahorcarme no sea un acto machista. https://t.co/RCctXzoam4"
"Desafinad0","Si se trata de hacer un mundo mejor sólo se me ocurre ahorcarme."
"AstronautOnPain","Me estoy agobiando porque mañana tengo como tres mil planes distintos y yo ni me acordaba pero es que encima no sé si voy a querer ahorcarme porque la segunda práctica de Programación y xdddd"
"Espinete_Oscuro","Razones para no ahorcarme: las sagas Star Wars y Star Trek siguen adelante."
"fxckyoumore","@Akiralover_ @momoakindo Era para ahorcarme. Pero me gusta tu pensamiento positivo. Sigue así"
"is_billyto","Ya no podré comer leche con azúcar porque se acabó, ahora si puedo ahorcarme."
"_mamberroi_","¿Eres Trajeado? Porque si es así este Danonino se va a sentar en tus piernas mientras hace movimientos circulares y se come tu corbata para luego ponermela y ahorcarme yo mismo mmm deliciosa ponme esa corbata bien apreta al rededor de mi"
"montsee1994","Ganas de ahorcarme --&gt; aumentando"
"kimingyu_co","estoy a esto ][ de ahorcarme con el tirante del bra alch, dEJEN DE PONERME TRISTE, CARAS DE MI HUEVO"
"lacunxa","NO HIJO DE PUTA ACA NO LA CANTO ESTOY POR AHORCARME #1016FinDeGira"
"Azul_belicosa","Yo andaba buscando una soga para ahorcarme, pero de la muñeca, por que del cuello como que siento que me ahogo."
"lwtironic","@ohIarry tampoco te lo dije de malas ganas chiquita tranquila y tu icon me dan ganas de ahorcarme n_n"
"UtopiaCode","@mutnchops_ Buena tarde ☺️ con la duda ¿Que te cuesta ahorcarme un ratito?"
"xuag0bio","No se si ahorcarme, o ahorcarme. https://t.co/hUD74XZCuO"
"HoracioTraveler","Trinando para olvidar que estoy trabajando y a punto de #ahorcarme"
"AlvaroGAlarcon","Llevar toda una mañana haciendo una maleta para que vaya a cogerla y no salga el chisme para llevarla a ruedas. Voy a ahorcarme un rato."
"SPACE_Romantic","@Keropon_ ahorcarme."
"SelofiliusBlack","Mira que a Enero le tengo asco, pero es que en Febrero me dan ganas de ahorcarme"
"dobledecafe","Que ganas tengo de ahorcarme"
"oh_my_yoongi","NUNCA TUVE TANTAS GANAS DE AHORCARME CON EL CABLE USB https://t.co/zjPJK82t9f"
"__lun___","el miercoles tengo altos profes, altas materias, salgo temprano. El jueves tengo dos horas de fisica  con mora y salgo a las 15:30; a esto )( de ahorcarme. Por lo menos tengo taller&lt;3"
"HoracioTraveler","@Marcellapeinado Que rico esta rinitis que me esta consumiendo, Me provoca #ahorcarme"
"ricky_alvarado_","Situación sentimental: Intentar ahorcarme con mis audífonos mientras escucho música deprimente."
"vernaIis","la noche está re linda para ahorcarme"
"GeovannaEc_","Ya me dieron ganas de ahorcarme con los cordones de mis zapatos ahí en la esquina de mi cuarto despacito."
"yumbrelt","a mimir antes de ahorcarme"
"gabuleta","No sé si comprarme una cinta para caminar o para ahorcarme."
"Desafinad0","Me estoy conociendo a mí mismo y pienso ahorcarme igual, la verdad."
"airthquake","Estoy en la puerta de la eoi esperando a la puta examinadora para hacer la recuperación y solo sé que quiero ahorcarme."
"oh_my_yoongi","mi mejor amiga no me ha hablado en todo el día, es momento de ahorcarme con un cable usb"
"travieza_J442","¡Recibí flores hoy! No es nuestro aniversario o ningún otro día especial; Anoche me lanzó contra la pared y comenzó a ahorcarme."
"feaconargumento","@rosonitit una fuerte pa ahorcarme (letras)"
"crisbeeeel","Hoy no tengo tantas ganas de ahorcarme como de que todo el mundo se quede ciego."
"littlemixbabys","si tengo que estar votando así hasta agosto prefiero ahorcarme #MTVHottest Little mix"
"youonlylivekurt","@doitjakeydoit perdon pero  ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahorcame por favor no pares de ahorc"
"s_urkiza","Escuchar Oasis y querer ahorcarme"
"messypussy_","@cutresop @Hisagod3 vos tambien ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más asombroso en todo el universo ahorcame por favor no pares de ahorcamee AAAAAA"
"Conillet_Calent","Este tipo de contratos deberían ser tan ilegales que incluso se tendría que ahorcarme quien lo ofrece https://t.co/kRIG3vnf1D"
"sunflhowers","@ni4lldios prestame la soga que yo tambien quiero ahorcarme"
"damngely","Hoy es un día perfecto para ahorcarme."
"iSoftDazaiB0T","Me dan ganas de intentar ahorcarme tambien TwT https://t.co/rztp0g4Wxm"
"comoelchocolate","En una semana vuelvo a trabajar. Estoy buscando un tirante que me resista para ahorcarme."
"SatanTendO","ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahorcame por favor no pares de ahorcame"
"aularents","qué ganas de ahorcarme con una agujeta https://t.co/9cDnTCRF8G"
"FORMID0W0S","NO PUDE COMPRAR LY TEAR, TAMPOCO EL 2017 MEMORIES Y PARA MÁS ME SACAN EL ARMY BOMB VER 3 QUIERO AHORCARME AHH"
"w_gintsuQ7","Tendré que ponerme a rezar desde ahorita para que haya cupo en las materias que me faltan.  Si no funciona ni rogándole al vato que administra el servidor, procederé a ahorcarme"
"OzpinTargaryen","@Lutaeurd De acuerdo, voy a ahorcarme al jardín de atrás"
"Espinete_Oscuro","Cuando me atiborro a Sirdalud tampoco me siento feliz, pero con el relax muscular no tengo fuerzas para levantarme y ahorcarme."
"paranoicamila","en resumen girl interrupted es la unica pelicula que tengo descargada asi que la voy a ver toda la cuarentena, cualquier cosa si decido ahorcarme o empastillarme o lo que sea los tkm besitos"
"SquidGameV","🔵🔹JUEGO 3🔹🔵  AHORCARME 😏  El primer líder del equipo que responda primero correctamente seguira en el juego y podrá enviar un team a la horca.   PISTA: ACTRIZ https://t.co/hkBwPoW8ZF"
"tamara_myg","buena tarde para querer ahorcarme escuchando into the i-land ot22 (https://t.co/GAtPQ2GdqR)"
"yaespectaculos","[ENTREVISTA] María del Mar: “#MatiasAle tuvo un ataque místico pero nunca quiso ahorcarme” https://t.co/kZgyl3fGbC https://t.co/WGGYm1paFb"
"SquidGameV","ÚLTIMA HORA  \"AHORCARME\" iniciará está noche.   ¡Atentos!"
"oscuroolvido","acaban de romperme el corazón y quiero ahorcarme."
"haruhseokk","yo cuando comencé a leer el primer ep de la novela vs yo cuando lloré 81 capitulos de 80 y queria ahorcarme con los audifonos https://t.co/I8ClZr0TCW"
"_Moonlight__03","Dios aprieta, pero tú ahorcarme https://t.co/ZVnti7PZa7"
"Huesoshundidos","Me siento tan mal que no se como explicarlo, quiero ahogarme, ahorcarme, matarme."
"w_gintsuQ7","Ni siquiera sé qué me gusta de él, solo se ve rikisimo y mis hormonas heterosexuales se alborotaron con el primer panel de manga en que salió  No sé si me excita más imaginar que puede ahorcarme o que real podría matarme 😩"
"orestescm76","mil reproducciones puedo ahorcarme en paz"
"Omsito","@victor_arias1 Ahorcarme JAJAJA"
"Miss_muertos","ojala se muera ya el papuchi necesito dinero para comprarme la soga y ahorcarme"
"HoracioTraveler","@Marcellapeinado Prefiero #ahorcarme"
"ohmyboystyles","En el mes que viene se cumplen ya los 4 años y no se si quemarme viva ahorcarme en un árbol o tirarme ácido mejor las 3 cosas"
"arriqui24","Carlos: Mañana a dormir todo el día que será lo mejor que haga en el concurso, voy a ahorcarme, ahora vuelvo! #GHDirecto"
"readytofallin","en el grupo compañera le dijo a compañero que si se rateaba, ella se cortaba, me da ganas de ahorcarme"
"byunsism","quiero ahorcarme https://t.co/HtK1hfrqQc"
"imaginerubius","me acorde que hoy tengo que ir al dentista estoy en proceso de ahorcarme"
"supermarylicius","Queee? Mel Gibson? Ok voy a ahorcarme con las pantaletas"
"comoelchocolate","iba a quejarme de que mis vecinos están de joda pero tienen 60 y yo estoy en la cama un sábado así que ahora estoy viendo de dónde ahorcarme"
"hernandezmariap","Cuando duermo cerca de alguien que ronca (todos los días) me provoca ahorcarme 8 veces."
"itscircustime","llevo con somos toda la mañana en el trabajo para evitar ahorcarme con el cable del ratón"
"KevinBryan73","SE SUSPENDIO LA FECHA!!! Creo que ire ahorcarme al granero, un gusto conocerlos muchachos..."
"_Skincinnamon","Voy a poner salsa para terminar de ahorcarme"
"xuag0bio","Ahh que ganas de ahorcarme"
"crzypill","@YAMSB0T__ ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahorcame por favor no pares de ahorcame"
"boticariagarcia","@Gwilt_ no sabría en qué árbol ahorcarme..."
"jsnlk97_","Unas ganas de ahorcarme 😀"
"_CosmicOddity","Hermosa como para... no sé AHORCARME BAJO UN ÁRBOL."
"claupipita_","Y luego a ahorcarme de aburrimiento xddd"
"emilianosanches","Si un día Te olvidas De nuestra amistad @CintiMedina haria una locura tirarme De arriba de la casa del perro y ahorcarme con un fideo TKM"
"http_frvn","mírame a los ojos, di que soy tu puta favorita, escúpeme en la boca y tírame cachetadas en el rostro para luego ahorcarme y méteme tu dura verga hasta que tu semilla se derrame entre mis piernas."
"lacunxa","sin querer casi borro el comentario q tiene el fav de alba ya estaba buscando la soga para ahorcarme"
"orificocelli","De algun lado una soga va a gritar. Y se, con la misma soga puedo ahorcarme o saltar al otro lado"
"missache_","A MI MAMA LE HICIERON UNA BROMA POR EL DIA DE LOS INOCENTES SUS AMIGAS, YO NO SE SI AHORCARME O PEGARME UN TIRO NO SE"
"ynmind","AHORA YOONGI DIOS VOY A AHORCARME"
"ilyreki","@crossbow_live ¿Eres Trajeadx? Porque sí es así, este Danonino se va a sentar en tus piernas mientras hace movimientos circulares y se come tu corbata para luego ponermela y ahorcarme yo mismo mmm deliciosa ponme esa corbata bien apreta al rededor de mi ano"
"styles_melu","No me lo hagas acordar porque me dan ganas de tirarme de un precipicio y de paso ahorcarme"
"lacunxa","si para no ahorcarme dilo https://t.co/IKvrXw6o5D"
"btsoutlist","Solo de pensar que los chicos van a estar aquí dando un concierto en un festival al que yo no puedo ir me dan ganas de ahorcarme."
"Paulitasoraire","En estos momentos me gustaria tener pieza propia para poder ahorcarme tranquila"
"yareanna_","las musica mexicana me dan ganas de ahorcarme"
"gjoutete","cómo q a las pl las hicieron los chicos estoy a nada de ahorcarme no había pensado en eso"
"JuanchoCceb","@vespervievv @edd_acu Confirmo y reafirmo que si, angelito bebé puede ahorcarme cuando quiera"
"spearbam_","voy a estar hasta el viernes pensando de jyunhao si queda fuera voy a proceder a ahorcarme"
"mjseijxs","\"Eso es bc te amo ♡ http://t.co/cvdbWlQYn6\" estoy apunto de soltarme para ahorcarme :)"
"itscircustime","Tengo que hacer fotos a una montaña de camisetas y prefiero ahorcarme con el cable del ratón"
"pupupuwo","iba a decir \"ahorcarme como tal\" pero TOO SON ROMINA LA PIBA SE MURIO AYER NO SEAS ASI"
"r3tr0m4nc3r","Por qué mierdas todos los putos VPNs están caídos, me niego a pensar que tantísima gente juega al among us y sabe lo que es un VPN Me apetece ahorcarme"
"jktoditomio","ni siquiera lo leí y me dieron ganas de ahorcarme cuando me contaron lo que pasa"
"CyanideMoon","Hoy no he estudiado n a d a porque estaba ocupada intentando no ahorcarme y tengo el examen el 8 well shit"
"Conillet_Calent","Pues ya hice la matrícula, en septiembre retomo los estudios después de 3 años. A ver cuanto duro estudiando y trabajando, de 8 de la mañana a 7 de la tarde cada día hasta ahorcarme."
"gnessus","Yo no sé quién le daría permiso a mi mamá de dejar mi cocina a manos de otros. Me la volvieron un culo, las ganas de ahorcarme eran grandes."
"Espinete_Oscuro","Pues yo antes que renunciar al amor prefiero ahorcarme."
"UnaMujerDe51","En mi casa están viendo un documental sobre Franco. No sé si ahorcarme en la azotea o embolarme en el patio..."
"Azul_belicosa","@hanalfabeto Yo tambien una vez intente ahorcarme pero como que me ahogaba, asi que no."
"Conillet_Calent","mentira, para ser específico puse en toda españa menos la comunidad de madrid, prefiero ahorcarme la verdad"
"evermoresott","encontre el cartel que hice el cuatro de mayo en que momento puedo ahorcarme http://t.co/Sv3PcJYIts"
"comoelchocolate","Si los auriculares me hacen doler la cabeza voy a usar su cable de metro y medio para ahorcarme."
"maikrussa","Ahorcarme es lo que debería. Esta vaina me pasa a mi por ser tan Maik."
"wantopjm","pueden taehyung y jimin ahorcarme con los aritos esos largos grax"
"muyevil","@ramonmadrid76 Soy de ahorcarme 2 o 3 veces diarias ajajajaja"
"taegisuk","@skyblumin @ygtreasuremaker no sé pero si lo averiguas pasame el tipo porque estaría por ahorcarme yo"
"SquidGameV","🔵🔹JUEGO 3🔹🔵  AHORCARME 😏 (ÚLTIMO RETO)  El primer líder del equipo que responda primero correctamente seguira en el juego y podrá enviar un team a la horca.   PISTA: LIBRO https://t.co/9UCRaKuI9S"
"SatanTendO","@Pinkes_Haar ahorcame por dios ahorcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahorcame por favor no pares de ahorcame"
"Dr_Fleibur","@superlayo_pfg Es que todo el mundo ha salido de España al menos una vez y a mí me dan ganas de ahorcarme de una vez por todas."
"Ayewen0","@ultzhonq Con ganas de ahorcarme digo bien ahre vos  Ah hablan ak like"
"waoyfgff","si mañana m despierto y lourdes no volvio soy capaz d ahorcarme"
"kazxiaobfs","@Asha_Yozako ahórcame por dios ahórcame hasta el punto de que tus manos me dejen marca pero no dejes de ahorcarme déjame sin respiración total si muero voy a morir entre tus lindas manos y por ser el más intenso y asombroso en todo el universo ahórcame por favor no pares de ahórcame"
"Conillet_Calent","@Weepin_Angels No sé si ahorcarme o qué hacer xd"
"rickymir_","@RooSaarmiento JAJAJAJAJAJA GRACIAS ROO GRAAAAACIAS ya vengo voy a ahorcarme un toque"
"spacehlboy","quiero ahorcarme omg louis tomlinson amazing porque louis tomlinson talented entonces louis tomlinson perfect y también louis tomlinson walls y me dedicó louis tomlinson fearless aunque louis tomlinson kill my mind también así que louis tomlinson beautiful"
"ChristianOnix","Romeo Santos va a salir en F&amp;F7. Ya tome la decisión dep ahorcarme por las bolas."
"olenenaquedices","Menos mal que lo he recuperao...sino con ahorcarme tengo bastante!"
"styles_melu","QUE GANAS AHORCARME CON UN FIDEO"
"yxgexo","Mejor tráeme una soga para ahorcarme o llévame al hospital. https://t.co/tqLXx8XpB1"
"inosuke__e","FIOS ESTOY HARTA quiero ahorcarme"
"IritzaAyalaa","@mueveteculito siento que ya no tiene perfume tu abrigo *Procedo a ahorcarme*"
"Espinete_Oscuro","-¿Cómo te va con el último antidepresivo que te receté? -Tengo ganas de ahorcarme."
"vcr1996","Cada tanto no olvido el acto de querer ahorcarme porque nunca fui el ejemplo que quisieron mis padres"
"RebelSakamaki","¿Olaf y Sven? Voy a ahorcarme al jardín de atrás https://t.co/IRmEhiRbL7"
"Conillet_Calent","literalmente yo pero pensando en hipotecarme y calculando a cuanto saldría al mes contando el TAE y gastos xd  Y en con que cuerda ahorcarme si me quedo sin trabajo"
"bxzzcutseas0n","de verdad no aguanto mas el colegio quiero ahorcarme"
"Deekkora","¿Perder mi virginidad? No gracias, prefiero guardar intacto mi himen y así poder ahorcarme con él alguna vez."
"doblasf","se me jodió el cargador ahora que hago ahorcarme seguro"
"SelofiliusBlack","Me dan ganas de ahorcarme con el cable del raton"
"doblasf","Puedo ahorcarme no es pregunta"
"emilianosanches","Si un día Te olvidas De nuestra amistad @Elicastrogdl haria una locura tirarme De arriba de la casa del perro y ahorcarme con un fideo besos"
"pameruuiz","Mi avatar es re marica y aunque no lo parezca estaba intentando ahorcarme con mi pelo pero algo salio mal."
"L0UISATAN","ya volvió el spam que ganas de ahorcarme"
"Conillet_Calent","@BassegoSound por mis cuentas del lol puedo sacar en total unos 150 pavos me da para comprarme 15 cuerdas gordas y ahorcarme"
"w_gintsuQ7","Si no lo consigo para mañana en la tarde voy a tener que ahorcarme (?)"
"cigarettommy","que horrible es mi vida sin el celular quiero ahorcarme"
"DayoScript","@Karatzu92 ¿Sin pelo? Nah, eso ya pasó hace un tiempo. El siguiente paso es ahorcarme."
"muyevil","@tildegm Yo soy de ahorcarme a diario😱☺️, igual el 1 de Septiembre cambio a la modalidad “cortarme las venas”"
"soiiviic","estoy gordísima hoy, no se si leer, ponerme a ver una peli, acostarme a dormir, o ahorcarme con el cable del cargador"
"florherrera420","Lave toda la parte de la cocina, TODO y ya lo ensuciaron todo, quiero ahorcarme con una taza"
"elcatrachito07","@DrHugoStrangeMD Doctor eso ha sido una duda que quizás no me deja comer, me quita el hambre, y si eso pasa ya sembré una mata de culantro para ahorcarme.. saludos y una lástima lo de la otra cuenta, pero igual aquí estamos los que somos fieles y necesitamos dejar de ser neófitos jaja"
"oh_my_yoongi","@minniease QUIERO AHORCARME CON UN CABLE USB 😭😭😭😭😭😭😭😭"
"_Skincinnamon","Tremenda rumba de vallenato tienen en el piso de arriba, incrementa mis ganas de ahorcarme jaja"
"DeClaseBaja","Tengo ganas de ir a un karaoke y ahorcarme en directo con el cable del micrófono."
"gr0ns","Ala me voy a fumar y ahorcarme."
"RebelSakamaki","@xBlackPaladinx // Estupendo, voy a ahorcarme al jardín de atrás"
"chittaIy","@13434Oi voy a ahorcarme esto no es una simulacion"
"hestexile","estaba limpiando la cocina y puse mi playlist triste que me hace acordar a mi papá y tuve que pasar a one dirección rapido porque estaba a punto de ahorcarme con la rejilla"
"kimingyu_co","ayudaaaa, solo de pensar que tal vez pueda ver a wanna one me entran ganas de ahorcarme con los audífonos"
"chittaIy","voy a ahorcarme no de la buena manera https://t.co/YcYONSMEM6"
"k1ldren","Nasganas de ahorcarme en el garage"
"muyevil","@nacmag voy a ahorcarme y ahora vuelvo"
"hrryygatito","q vestidos mas feos esos que tienen 47 capas de tul y todos volados en la pollera prefiero ahorcarme antes que ponerme eso🙏"
"ChristianOnix","\"Baila la calle de noche, baila la calle de día\"-Procedo a ahorcarme con un hilo de pastel."
"taehyungmiofea","MI AMOR PRECIOSO MI CHIQUITO LINDO TE EXTRALABA ESTABA A PUNTO CON AHORCARME https://t.co/yiMWaKvJEn"
"damngely","Necesito ahorcarme lo mas pronto posible."
"tetrachild","en mis tiempos las versiones de prueba de estos juegos duraban 30 ahora una hora qué ganas de ahorcarme con mi cabello"
"berrettasofi","@not_lulx yo tampoco se que es boluda toy queriendo ahorcarme ni se para q me lo hice aguante cc"
"Reynosofer_","Veo fotos en insta y me dan ganas de ahorcarme"
"AranaFederick","Tengo ganas de ahorcarme, pero con tu pene papi."
"Haroooold27","Me faltan 2 meses para cumplir años y ahorcarme *-*"
"RosarioVillalb3","Pensar que tengo que estudiar historia me dan ganas de ahorcarme despacito.."
"Pachifula","Aja... Y eso cantaba... Mi ex esposo y jefe gringo pudieron querer ahorcarme por eso... Traten de resolver problemas sin humor, no se puede."
"__lun___","otro año mas sin ahorcarme gracias a Valentín y ya vamos 4"
